[[ 12.9747355, 77.6745501, False ]
[ 12.9747355, 77.6745501, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.9744656, 77.6735212, False ]
[ 12.9744656, 77.6735212, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744656, 77.6735212, False ]
[ 12.9744656, 77.6735212, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744589, 77.6735106, False ]
[ 12.9744589, 77.6735106, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9743901, 77.6734121, False ]
[ 12.9743901, 77.6734121, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744251, 77.6734531, False ]
[ 12.9744251, 77.6734531, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.974472, 77.6734227, False ]
[ 12.974472, 77.6734227, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744945, 77.6735306, False ]
[ 12.9744945, 77.6735306, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734313, False ]
[ 12.9744613, 77.6734313, False ]
[ 12.9744613, 77.6734313, False ]
[ 12.9744613, 77.6734313, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.97414, 77.6734525, False ]
[ 12.97414, 77.6734525, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9745496, 77.6734317, False ]
[ 12.9745496, 77.6734317, False ]
[ 12.9745585, 77.6734793, False ]
[ 12.9745585, 77.6734793, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974415, 77.673387, False ]
[ 12.974373, 77.6734317, False ]
[ 12.974373, 77.6734317, False ]
[ 12.9745496, 77.6734317, False ]
[ 12.9745496, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9745209, 77.6734632, False ]
[ 12.9745209, 77.6734632, False ]
[ 12.9745209, 77.6734632, False ]
[ 12.9745209, 77.6734632, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9741016, 77.6730101, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9742908, 77.673248, False ]
[ 12.9742908, 77.673248, False ]
[ 12.9743687, 77.6733423, False ]
[ 12.9743687, 77.6733423, False ]
[ 12.9742916, 77.6732606, False ]
[ 12.9742916, 77.6732606, False ]
[ 12.9736363, 77.674194, False ]
